season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2026,80252,Sanai Tyler,Bethune Cookman,SWAC,Jr,Wing G,A0,Traditional Big,A0,Traditional Big,0.54374235,A1,Midrange-Heavy Role Player,0.22402781,A6,Low-Production Player,0.09769432,0.54374235,0.22402781,0.00097648,0.0,0.06013831,0.07342073,0.09769432,0.0
2026,68645,Shomari Phillips,Bethune Cookman,SWAC,Sr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.46003502,A1,Midrange-Heavy Role Player,0.20819965,A7,Efficient Off-Ball Finisher,0.10419542,0.0,0.20819965,0.05620641,0.46003502,0.0,0.07131303,0.10005046,0.10419542
2026,80475,Ashley Redd,Binghamton,AE,Fr,Wing G,A4,Combo Guard,A4,Combo Guard,0.49042660,A0,Traditional Big,0.31684723,A6,Low-Production Player,0.10374991,0.31684723,0.0,0.0,0.08897626,0.4904266,0.0,0.10374991,0.0
2026,67672,Bella Pucci,Binghamton,AE,Jr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.29859098,A4,Combo Guard,0.29684545,A5,Two-Way Star Guard,0.18295771,0.04486905,0.0,0.02509279,0.29859098,0.29684545,0.18295771,0.0,0.15164402
2026,81278,Carletta Bennett,Binghamton,AE,Fr,Wing G,A4,Combo Guard,A4,Combo Guard,0.34821693,A0,Traditional Big,0.19508682,A3,Three-Point Specialist,0.16967559,0.19508682,0.0,0.042589,0.16967559,0.34821693,0.13121925,0.0,0.1132124
2026,69774,Kaia Goode,Binghamton,AE,Jr,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.34861438,A6,Low-Production Player,0.21937685,A3,Three-Point Specialist,0.20265371,0.02750856,0.0,0.0,0.20265371,0.34861438,0.13688135,0.21937685,0.06496515
2026,69981,Kendall Bennett,Binghamton,AE,Jr,Wing G,A0,Traditional Big,A0,Traditional Big,0.57927109,A2,Two-Way Star Big,0.30564205,A7,Efficient Off-Ball Finisher,0.06465413,0.57927109,0.0,0.30564205,0.0,0.0,0.05043273,0.0,0.06465413
2026,69804,Leah Middleton,Binghamton,AE,So,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.45219038,A1,Midrange-Heavy Role Player,0.22142994,A4,Combo Guard,0.11731836,0.0476576,0.22142994,0.0171075,0.45219038,0.11731836,0.04473094,0.0,0.09956528
2026,70613,Meghan Casey,Binghamton,AE,Sr,Combo G,A4,Combo Guard,A4,Combo Guard,0.53135392,A7,Efficient Off-Ball Finisher,0.34249476,A6,Low-Production Player,0.11283981,0.0,0.0,0.0,0.0,0.53135392,0.01331151,0.11283981,0.34249476
2026,70666,Yanniah Boyd,Binghamton,AE,Jr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.29777649,A4,Combo Guard,0.28911142,A5,Two-Way Star Guard,0.19132044,0.07377609,0.04695451,0.10106104,0.0,0.28911142,0.19132044,0.29777649,0.0
