season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2023,74932,Amanda Mobley,Rider,MAAC,Sr,Pure PG,A4,Combo Guard,A4,Combo Guard,0.51700969,A7,Efficient Off-Ball Finisher,0.2430392,A5,Two-Way Star Guard,0.2399511,0.0,0.0,0.0,0.0,0.51700969,0.2399511,0.0,0.2430392
2023,74829,Daja Wentz,Rider,MAAC,Jr,Combo G,A6,Low-Production Player,A6,Low-Production Player,0.7332204,A5,Two-Way Star Guard,0.14862675,A1,Midrange-Heavy Role Player,0.11815284,0.0,0.11815284,0.0,0.0,0.0,0.14862675,0.7332204,0.0
2023,74434,Emily Strunk,Rider,MAAC,So,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.37658901,A2,Two-Way Star Big,0.25811189,A4,Combo Guard,0.19872948,0.11277852,0.00484987,0.25811189,0.00209062,0.19872948,0.0,0.04685059,0.37658901
2023,67746,Jessika Schiffer,Rider,MAAC,Jr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.57850012,A7,Efficient Off-Ball Finisher,0.17892792,A4,Combo Guard,0.11826455,0.0,0.08473412,0.0,0.57850012,0.11826455,0.03957329,0.0,0.17892792
2023,74432,Madison Johnson,Rider,MAAC,So,Scoring PG,A6,Low-Production Player,A6,Low-Production Player,0.34693749,A5,Two-Way Star Guard,0.34060698,A0,Traditional Big,0.16891497,0.16891497,0.0,0.0,0.0,0.14354056,0.34060698,0.34693749,0.0
2023,68040,Makayla Firebaugh,Rider,MAAC,Jr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.47855994,A2,Two-Way Star Big,0.15981589,A5,Two-Way Star Guard,0.12168535,0.01624392,0.03530267,0.15981589,0.47855994,0.11588301,0.12168535,0.0,0.07250921
2023,70094,Maya Hyacienth,Rider,MAAC,Sr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.31339296,A3,Three-Point Specialist,0.29635351,A4,Combo Guard,0.17455899,0.15232877,0.0,0.06336577,0.29635351,0.17455899,0.0,0.31339296,0.0
2023,72072,Molly Lynch,Rider,MAAC,Jr,Combo G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.41774533,A6,Low-Production Player,0.39622148,A3,Three-Point Specialist,0.07443004,0.0,0.00996758,0.04723171,0.07443004,0.0,0.05440386,0.39622148,0.41774533
2023,72071,Raphaela Toussaint,Rider,MAAC,Jr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.28583396,A2,Two-Way Star Big,0.23734688,A0,Traditional Big,0.21209916,0.21209916,0.04337928,0.23734688,0.28583396,0.06031696,0.0,0.0,0.16102376
2023,72075,Sofie Bruintjes,Rider,MAAC,Jr,Wing G,A0,Traditional Big,A0,Traditional Big,0.30894143,A7,Efficient Off-Ball Finisher,0.25477925,A3,Three-Point Specialist,0.17371537,0.30894143,0.05172495,0.03937551,0.17371537,0.0,0.0,0.17146349,0.25477925
